1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,HeatingQC,HouseStyle,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofStyle,SaleCondition,ScreenPorch,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YrSold,Num_Bathrooms,ExtStructSF,HouseSF,YearRemodAgg
856,854,0,None,3,1Fam,4,3,706.0,0.0,2,6,1.0,0.0,2,150.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,3,0,PConc,2,6,548.0,2.0,5,2,5,Attchd,2003.0,1710,1,0,2Story,1,2,Lvl,0,8450,Inside,65.0,3,0,60,RL,196.0,BrkFace,None,0,2,CollgCr,61,4,6,2,0,3,Gable,Normal,0,8,856.0,0,2008,3.5,61,3114.0,2003.0
1262,0,0,None,3,1Fam,4,1,978.0,0.0,0,6,0.0,1.0,2,284.0,Y,Feedr,4,0,4,3,MetalSd,MetalSd,4,5,1,CBlock,2,6,460.0,2.0,5,2,5,Attchd,1976.0,1262,0,0,1Story,1,3,Lvl,0,9600,FR2,80.0,3,0,20,RL,0.0,None,None,0,5,Veenker,0,7,5,2,0,3,Gable,Normal,0,6,1262.0,298,2007,2.5,298,2984.0,1976.0
920,866,0,None,3,1Fam,4,2,486.0,0.0,2,6,1.0,0.0,2,434.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,5,1,PConc,2,6,608.0,2.0,5,2,5,Attchd,2001.0,1786,1,0,2Story,1,2,Lvl,0,11250,Inside,68.0,0,0,60,RL,162.0,BrkFace,None,0,9,CollgCr,42,4,6,2,0,3,Gable,Normal,0,6,920.0,0,2008,3.5,42,3314.0,2001.5
961,756,0,None,3,1Fam,1,3,216.0,0.0,0,6,1.0,0.0,4,540.0,Y,Norm,4,272,4,3,Wd Sdng,Wd Shng,4,2,1,BrkTil,1,6,642.0,3.0,5,3,5,Detchd,1998.0,1717,0,2,2Story,1,2,Lvl,0,9550,Corner,60.0,0,0,70,RL,0.0,None,None,0,2,Crawfor,35,4,6,2,0,3,Gable,Abnorml,0,7,756.0,0,2006,2.0,307,3115.0,1942.5
1145,1053,0,None,4,1Fam,4,0,655.0,0.0,2,6,1.0,0.0,2,490.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,5,1,PConc,2,6,836.0,3.0,5,2,5,Attchd,2000.0,2198,1,0,2Story,1,2,Lvl,0,14260,FR2,84.0,0,0,60,RL,350.0,BrkFace,None,0,12,NoRidge,84,4,7,2,0,3,Gable,Normal,0,9,1145.0,192,2008,3.5,276,4179.0,2000.0
796,566,320,None,1,1Fam,4,3,732.0,0.0,2,6,1.0,0.0,2,64.0,Y,Norm,4,0,4,3,VinylSd,VinylSd,2,3,0,Wood,1,6,480.0,2.0,5,3,5,Attchd,1993.0,1362,1,0,1.5Fin,1,3,Lvl,0,14115,Inside,85.0,0,0,50,RL,0.0,None,Shed,700,10,Mitchel,30,4,4,2,0,3,Gable,Normal,0,5,796.0,40,2009,2.5,390,2638.0,1994.0
1694,0,0,None,3,1Fam,4,0,1369.0,0.0,2,6,1.0,0.0,0,317.0,Y,Norm,4,0,4,2,VinylSd,VinylSd,4,2,1,PConc,2,6,636.0,2.0,5,2,5,Attchd,2004.0,1694,0,0,1Story,1,2,Lvl,0,10084,Inside,75.0,3,0,20,RL,186.0,Stone,None,0,8,Somerst,57,4,7,2,0,3,Gable,Normal,0,7,1686.0,255,2007,3.0,312,4016.0,2004.5
1107,983,0,None,3,1Fam,4,2,859.0,32.0,0,1,1.0,0.0,2,216.0,Y,PosN,4,228,4,3,HdBoard,HdBoard,4,5,2,CBlock,2,6,484.0,2.0,5,2,5,Attchd,1973.0,2090,1,0,2Story,1,3,Lvl,0,10382,Corner,68.0,0,0,60,RL,240.0,Stone,Shed,350,11,NWAmes,204,5,6,2,0,3,Gable,Normal,0,7,1107.0,235,2009,3.5,667,3681.0,1973.0
1022,752,0,None,2,1Fam,4,3,0.0,0.0,6,6,0.0,0.0,4,952.0,Y,Artery,1,205,4,3,BrkFace,Wd Shng,4,5,2,BrkTil,2,2,468.0,2.0,5,3,1,Detchd,1931.0,1774,0,2,1.5Fin,2,3,Lvl,0,6120,Inside,51.0,3,0,50,RM,0.0,None,None,0,4,OldTown,0,4,6,2,0,3,Gable,Abnorml,0,8,952.0,90,2008,2.0,295,3194.0,1940.5
1077,0,0,None,2,2fmCon,4,3,851.0,0.0,2,6,1.0,0.0,4,140.0,Y,Artery,4,0,4,3,MetalSd,MetalSd,4,5,2,BrkTil,1,6,205.0,1.0,5,2,2,Attchd,1939.0,1077,0,0,1.5Unf,2,3,Lvl,0,7420,Corner,50.0,3,0,190,RL,0.0,None,None,0,1,BrkSide,4,5,4,2,0,3,Gable,Normal,0,5,991.0,0,2008,2.0,4,2273.0,1944.5
