1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExtStructSF,ExterCond,ExterQual,Exterior1st,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseSF,HouseStyle,KitchenAbvGr,KitchenQual,LandSlope,LotArea,LotFrontage,LotShape,LowQualFinSF,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,Num_Bathrooms,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,WoodDeckSF,YrSold,YearRemodAgg
856,854,0,None,3,4,3,706.0,0.0,2,6,1.0,0.0,2,150.0,Y,Norm,Norm,4,0,61,4,2,VinylSd,4,3,0,PConc,2,6,548.0,2.0,5,2,5,Attchd,2003.0,1710,1,GasA,0,3114.0,2Story,1,2,0,8450,65.0,3,0,196.0,BrkFace,None,0,2,CollgCr,3.5,61,4,6,2,0,3,CompShg,0,Pave,8,856.0,0,2008,2003.0
1262,0,0,None,3,4,1,978.0,0.0,0,6,0.0,1.0,2,284.0,Y,Feedr,Norm,4,0,298,4,3,MetalSd,4,5,1,CBlock,2,6,460.0,2.0,5,2,5,Attchd,1976.0,1262,0,GasA,0,2984.0,1Story,1,3,0,9600,80.0,3,0,0.0,None,None,0,5,Veenker,2.5,0,7,5,2,0,3,CompShg,0,Pave,6,1262.0,298,2007,1976.0
920,866,0,None,3,4,2,486.0,0.0,2,6,1.0,0.0,2,434.0,Y,Norm,Norm,4,0,42,4,2,VinylSd,4,5,1,PConc,2,6,608.0,2.0,5,2,5,Attchd,2001.0,1786,1,GasA,0,3314.0,2Story,1,2,0,11250,68.0,0,0,162.0,BrkFace,None,0,9,CollgCr,3.5,42,4,6,2,0,3,CompShg,0,Pave,6,920.0,0,2008,2001.5
961,756,0,None,3,1,3,216.0,0.0,0,6,1.0,0.0,4,540.0,Y,Norm,Norm,4,272,307,4,3,Wd Sdng,4,2,1,BrkTil,1,6,642.0,3.0,5,3,5,Detchd,1998.0,1717,0,GasA,2,3115.0,2Story,1,2,0,9550,60.0,0,0,0.0,None,None,0,2,Crawfor,2.0,35,4,6,2,0,3,CompShg,0,Pave,7,756.0,0,2006,1942.5
1145,1053,0,None,4,4,0,655.0,0.0,2,6,1.0,0.0,2,490.0,Y,Norm,Norm,4,0,276,4,2,VinylSd,4,5,1,PConc,2,6,836.0,3.0,5,2,5,Attchd,2000.0,2198,1,GasA,0,4179.0,2Story,1,2,0,14260,84.0,0,0,350.0,BrkFace,None,0,12,NoRidge,3.5,84,4,7,2,0,3,CompShg,0,Pave,9,1145.0,192,2008,2000.0
796,566,320,None,1,4,3,732.0,0.0,2,6,1.0,0.0,2,64.0,Y,Norm,Norm,4,0,390,4,3,VinylSd,2,3,0,Wood,1,6,480.0,2.0,5,3,5,Attchd,1993.0,1362,1,GasA,0,2638.0,1.5Fin,1,3,0,14115,85.0,0,0,0.0,None,Shed,700,10,Mitchel,2.5,30,4,4,2,0,3,CompShg,0,Pave,5,796.0,40,2009,1994.0
1694,0,0,None,3,4,0,1369.0,0.0,2,6,1.0,0.0,0,317.0,Y,Norm,Norm,4,0,312,4,2,VinylSd,4,2,1,PConc,2,6,636.0,2.0,5,2,5,Attchd,2004.0,1694,0,GasA,0,4016.0,1Story,1,2,0,10084,75.0,3,0,186.0,Stone,None,0,8,Somerst,3.0,57,4,7,2,0,3,CompShg,0,Pave,7,1686.0,255,2007,2004.5
1107,983,0,None,3,4,2,859.0,32.0,0,1,1.0,0.0,2,216.0,Y,PosN,Norm,4,228,667,4,3,HdBoard,4,5,2,CBlock,2,6,484.0,2.0,5,2,5,Attchd,1973.0,2090,1,GasA,0,3681.0,2Story,1,3,0,10382,80.0,0,0,240.0,Stone,Shed,350,11,NWAmes,3.5,204,5,6,2,0,3,CompShg,0,Pave,7,1107.0,235,2009,1973.0
1022,752,0,None,2,4,3,0.0,0.0,6,6,0.0,0.0,4,952.0,Y,Artery,Norm,1,205,295,4,3,BrkFace,4,5,2,BrkTil,2,2,468.0,2.0,5,3,1,Detchd,1931.0,1774,0,GasA,2,3194.0,1.5Fin,2,3,0,6120,51.0,3,0,0.0,None,None,0,4,OldTown,2.0,0,4,6,2,0,3,CompShg,0,Pave,8,952.0,90,2008,1940.5
1077,0,0,None,2,4,3,851.0,0.0,2,6,1.0,0.0,4,140.0,Y,Artery,Artery,4,0,4,4,3,MetalSd,4,5,2,BrkTil,1,6,205.0,1.0,5,2,2,Attchd,1939.0,1077,0,GasA,0,2273.0,1.5Unf,2,3,0,7420,50.0,3,0,0.0,None,None,0,1,BrkSide,2.0,4,5,4,2,0,3,CompShg,0,Pave,5,991.0,0,2008,1944.5
